rank,name,director,score,score_num,quote
71,飞越疯人院,米洛斯·福尔曼,9.1,490514,自由万岁。
72,拯救大兵瑞恩,史蒂文·斯皮尔伯格,9.0,560091,美利坚精神输出大片No1.
73,音乐之声,罗伯特·怀斯,9.1,519022,用音乐化解仇恨，让歌声串起美好。
74,小鞋子,马基德·马基迪,9.2,352597,奔跑的孩子是天使。
75,阿凡达,詹姆斯·卡梅隆,8.8,1213172,绝对意义上的美轮美奂。
76,海豚湾,路易·西霍尤斯,9.3,324172,海豚的微笑，是世界上最高明的伪装。
77,致命魔术,克里斯托弗·诺兰,8.9,743890,孪生蝙蝠侠大战克隆金刚狼。
78,沉默的羔羊,乔纳森·戴米,8.9,750515,安东尼·霍普金斯的顶级表演。
79,哈利·波特与死亡圣器(下),大卫·叶茨,8.9,693466,10年的完美句点。
80,美国往事,赛尔乔·莱翁内,9.2,357229,往事如烟，无处祭奠。
81,禁闭岛,Martin,8.8,827251,昔日翩翩少年，今日大腹便便。
82,蝴蝶效应,埃里克·布雷斯,8.8,808047,人的命运被自己瞬间的抉择改变。
83,布达佩斯大饭店,韦斯·安德森,8.9,777026,小清新的故事里注入了大历史的情怀。
84,心灵捕手,格斯·范·桑特,8.9,611215,人生中应该拥有这样的一段豁然开朗。
85,低俗小说,昆汀·塔伦蒂诺,8.9,718513,故事的高级讲法。
86,春光乍泄,王家卫,9.0,542252,爱情纠缠，男女一致。
87,摩登时代,查理·卓别林,9.3,253615,大时代中的人生，小人物的悲喜。
88,七宗罪,大卫·芬奇,8.8,831889,警察抓小偷，老鼠玩死猫。
89,喜剧之王,周星驰,8.8,832287,我是一个演员。
90,致命ID,詹姆斯·曼高德,8.8,697092,最不可能的那个人永远是最可能的。
91,被嫌弃的松子的一生,中岛哲也,8.9,627435,以戏谑来戏谑戏谑。
92,杀人回忆,奉俊昊,8.9,592969,关于连环杀人悬案的集体回忆。
93,加勒比海盗,戈尔·维宾斯基,8.8,749438,约翰尼·德普的独角戏。
94,红辣椒,今敏,9.0,374916,梦的勾结。
95,剪刀手爱德华,蒂姆·波顿,8.7,933624,浪漫忧郁的成人童话。
96,狩猎,托马斯·温特伯格,9.1,326596,人言可畏。
97,请以你的名字呼唤我,卢卡·瓜达尼诺,8.9,601928,沉醉在电影的情感和视听氛围中无法自拔。
98,勇敢的心,梅尔·吉布森,8.9,508456,史诗大片的典范。
99,7号房的礼物,李焕庆,8.9,474641,《我是山姆》的《美丽人生》。
100,功夫,周星驰,8.7,909758,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
101,超脱,托尼·凯耶,8.9,452821,穷尽一生，我们要学会的，不过是彼此拥抱。
102,断背山,李安,8.8,626127,每个人心中都有一座断背山。
103,哈利·波特与阿兹卡班的囚徒,Alfonso,8.9,575636,不一样的导演，不一样的哈利·波特。
104,天使爱美丽,让-皮埃尔·热内,8.7,876552,法式小清新。 
105,入殓师,泷田洋二郎,8.9,564558,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
106,唐伯虎点秋香,李力持,8.7,918449,华太师是黄霑，吴镇宇四大才子之一。
