职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
高级JAVA开发工程师-武汉光谷,武汉,,15-20k,5-10年本科及以上,京北方信息,|IT服务|已上市|10000人以上|,田女士
中级java开发工程师,武汉-洪山区,,7-11k,3-5年大专及以上,美国K2软件(中国),|计算机软件|融资未公开|100-499人|,许女士
高级java开发工程师,武汉,,10-15k·13薪,5-10年本科及以上,湖北楚天龙实业有限公司,|智能硬件|100-499人|,纪女士
java开发工程师,武汉-洪山区,,14-20k,1-3年本科及以上,思迪信息,|计算机软件|B轮|500-999人|,麦女士
java开发工程师,武汉-洪山区,,14-20k,3-5年统招本科,思迪信息,|计算机软件|B轮|500-999人|,岑女士
中级Java,武汉-汉阳区,,10-15k·13薪,3-5年大专及以上,武汉集信通信息技术有限公司,|计算机软件|1-49人|,谢女士
Java后台开发工程师,武汉-武昌区,,15-20k,3-5年统招本科,易智瑞,|计算机软件|融资未公开|100-499人|,沈女士
高级java开发工程师,武汉-洪山区,,14-20k,5-10年本科及以上,益模(重庆)智能制造研究院有限公司,|企业服务软件|1-49人|,廖女士
java开发工程师（武汉开发中心）,武汉,,10-20k·13薪,3-5年统招本科,泛华金控,|保险|美股上市|2000-5000人|,周女士
Java开发工程师,武汉,,10-15k,5-10年大专及以上,湖北咿呀医疗投资管理股份有限公司,|医疗服务|500-999人|,陈女士
java开发工程师,武汉-东西湖区,,7-9k,3-5年本科及以上,优博讯,|计算机软件|沪深A股上市|1000-2000人|,吴先生
Java开发工程师,武汉-洪山区,,13-18k,3-5年大专及以上,国内某互联网公司,|互联网+|融资未公开|5000-10000人|,刘女士
java开发,武汉,,10-15k·13薪,1-3年大专及以上,国企,|高端制造|已上市|10000人以上|,李女士
中高级java工程师,武汉-洪山区,,16-18k,3-5年学历不限,鸿鹄,|互联网/电商|100-499人|,张先生
JAVA开发工程师,武汉,,20-25k·14薪,1-3年统招本科,武汉知名企业,|计算机软件|已上市|2000-5000人|,胡女士
java工程师,武汉,,15-25k,3-5年学历不限,美资发动机公司,|机械/机电/重工|融资未公开|10000人以上|,张女士
java工程师,武汉-东西湖区,,15-25k,3-5年本科及以上,某上市数据股份有限公司,|互联网/电商|融资未公开|100-499人|,熊女士
JAVA开发,武汉-江夏区,,15-30k·15薪,5-10年统招本科,工业软件企业,|工业互联网|100-499人|,唐女士
Java开发工程师（武汉）,武汉-洪山区,,15-20k·14薪,3-5年统招本科,某互联网企业,|智能安防|战略融资|2000-5000人|,隗女士
java开发,武汉,,14-27k·18薪,3-5年统招本科,某互联网金融企业,|互联网金融|战略融资|500-999人|,胡女士
java高级开发工程师,武汉,,30-60k·16薪,3-5年统招本科,某高科技公司,|自动驾驶|500-999人|,原先生
java高级开发工程师,武汉,,30-60k·16薪,3-5年本科及以上,某集团公司,|互联网/电商|10000人以上|,李先生
java架构师,武汉,,25-40k·14薪,10年以上本科及以上,杭州某数字工程系统有限公司,|计算机软件|100-499人|,王女士
JAVA架构师,武汉,,20-35k,3-5年本科及以上,某数字工程有限公司,|计算机软件|100-499人|,霍女士
Java Web开发工程师,武汉-洪山区,,10-15k·14薪,3-5年统招本科,中望软件,|计算机软件|已上市|500-999人|,方女士
java架构师,武汉,,20-25k,经验不限统招本科,HX供应链科技有限公司,|交通/物流/运输|100-499人|,严女士
Java开发工程师（武汉）,武汉-东西湖区,,15-30k·13薪,3-5年统招本科,腾讯云,|互联网/电商|500-999人|,李先生
java开发工程师,武汉-江夏区,,15-20k,经验不限学历不限,深圳市某股份有限公司,|互联网/电商|已上市|100-499人|,吴先生
软件研发岗（JAVA),武汉,,15-20k,3-5年统招本科,某知名银行,|银行|天使轮|100-499人|,肖琪
Java,武汉-洪山区,,20-28k·18薪,3-5年学历不限,某联消费金融有限公司,|互联网金融|A轮|500-999人|,谢先生
中级Java游戏开发工程师,武汉,,15-30k·13薪,3-5年学历不限,武汉某网络科技有限公司,|游戏产业|其他|100-499人|,张先生
java,武汉,,10-15k·14薪,经验不限学历不限,某大型物流公司,|互联网/电商|A轮|2000-5000人|,周女士
Java/C++研发工程师(OD岗位),武汉,,15-40k·15薪,经验不限统招本科,华为,|通信业|10000人以上|,储先生
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Java开发工程师,武汉,,6-12k,1-3年统招本科,北京清能互联科技有限公司,|互联网/电商|A轮|100-499人|,尉女士
高级java开发工程师,武汉,,15-25k·14薪,5-10年本科及以上,武汉梦芯科技有限公司,|电子/芯片/半导体|A轮|100-499人|,杨先生
java研发工程师,武汉,,10-15k,经验不限本科及以上,美和易思教育,|教育培训|500-999人|,刘女士
java架构师,武汉-江汉区,,13-25k·13薪,5-10年本科及以上,知名互联网公司,|互联网/电商|100-499人|,李女士
java工程师,武汉-武昌区,,13-26k·13薪,3-5年本科及以上,北京沃丰时代数据科技有限公司,|互联网/电商|C轮|100-499人|,韩女士
Java课程培训老师,武汉-黄陂区,,20-30k,经验不限统招本科,传智教育,|教育培训|沪深A股上市|1000-2000人|,黄女士
Java EE导师,武汉-江岸区,,17-30k,3-5年统招本科,传智教育,|教育培训|沪深A股上市|1000-2000人|,黄女士
java开发工程师,武汉,,13-19k,1-3年本科及以上,北京永中软件有限公司,|计算机软件|500-999人|,杨女士
Java研发专责,武汉-洪山区,,8-18k,1-3年统招本科,北京清能互联科技有限公司,|互联网/电商|A轮|100-499人|,尉女士
高级JAVA开发工程师（武汉研发中心）,武汉,,13-18k·15薪,3-5年本科及以上,上海美市科技有限公司,|社交网络|B轮|100-499人|,李女士
JAVA开发工程师(业务软件),武汉-洪山区,,6-12k,1-3年本科及以上,宇视科技,|计算机/网络设备|2000-5000人|,江女士
java工程师,武汉,,15-25k,经验不限本科及以上,国内知名互联网公司,|大数据|其他|100-499人|,吴女士
JAVA开发主管,武汉,,15-20k·14薪,5-10年统招本科,国内知名的上市公司,|IT服务|10000人以上|,高女士
java,武汉,,16-35k·16薪,经验不限本科及以上,华为,|通信业|10000人以上|,陈先生
高级JAVA开发工程师（武汉）,武汉-洪山区,,15-22k·14薪,5-10年统招本科,中证信用,|基金/证券/投资|500-999人|,徐女士
JAVA服务器开发 (MJ000622),武汉-汉阳区,,15-25k·13薪,5-10年本科及以上,浙江吉利控股集团,|汽车/摩托车|10000人以上|,鲍先生
初级java开发工程师,武汉-武昌区,,8-15k,1-3年大专及以上,上海穗禾信息科技有限公司,|计算机软件|融资未公开|100-499人|,虞女士
java后端开发,武汉,,15-30k·14薪,3-5年本科及以上,亚信科技,|通信业|10000人以上|,王女士
Java开发工程师,武汉,,18-35k,经验不限统招本科,美的集团流程与IT部(集团总部),|家具/家电|10000人以上|,隽女士
JAVA软件工程师（国际高等教育）,武汉-洪山区,,10-15k·13薪,3-5年本科及以上,研课教育——CIS学术科研,|教育培训|100-499人|,朱女士
java工程师,武汉,,12-20k·14薪,3-5年大专及以上,武汉科迪奥电力科技有限公司,|计算机软件|100-499人|,叶女士
java组长,武汉,,15-25k·13薪,3-5年大专及以上,武汉科迪奥电力科技有限公司,|计算机软件|100-499人|,叶女士
java后端开发,武汉,,9-14k,1-3年大专及以上,武汉昊广智联科技有限公司,|人工智能|战略投资|50-99人|,沈女士
Java开发工程师,武汉-洪山区,,9-16k,1-3年大专及以上,赛意信息,|计算机软件|创业板上市|2000-5000人|,黄女士
java开发工程师,武汉-洪山区,,10-20k·13薪,3-5年统招本科,南京森根科技股份有限公司,|计算机软件|100-499人|,赵女士
中级JAVA开发工程师-武汉光谷,武汉,,11-15k,3-5年本科及以上,京北方信息,|IT服务|已上市|10000人以上|,田女士
java开发工程师,武汉-武昌区,,12-22k,3-5年本科及以上,中诚信国际,|基金/证券/投资|500-999人|,杨女士
java开发工程师,武汉-洪山区,,10-20k,1-3年本科及以上,同为数码,|电子/芯片/半导体|沪深A股上市|1000-2000人|,李女士
java开发工程师,武汉,,15-20k·13薪,3-5年大专及以上,武汉翰和科技有限公司,|计算机软件|1-49人|,卢女士
java开发工程师,武汉-蔡甸区,,15-20k·14薪,3-5年本科及以上,海康智联,|IT服务|100-499人|,彭女士
java开发工程师,武汉-武昌区,,9-18k·13薪,1-3年本科及以上,广东南方数码科技股份有限公司,|计算机软件|500-999人|,冯先生
java开发工程师,武汉,,30-50k,1-3年本科及以上,皓行科技,|计算机软件|港股上市|10000人以上|,宋先生
java工程师,武汉-东西湖区,,8-13k·13薪,3-5年统招本科,广东德生科技股份有限公司,|互联网/电商|中小板上市|1000-2000人|,梁先生
中级JAVA研发工程师,武汉-洪山区,,10-15k·14薪,3-5年本科及以上,思创数码科技股份有限公司,|IT服务|1000-2000人|,张女士
java开发工程师,武汉-江夏区,,8-15k·13薪,3-5年本科及以上,北京铁道工程机电技术研究所股份有限公司,|仪器/电气/自动化|100-499人|,梁女士
JAVA开发工程师（WMS、TMS、SCM、ERP经验优先）,武汉-武昌区,,6-18k,1-3年本科及以上,聚龄供应链,|计算机软件|融资未公开|100-499人|,万先生
中高级java开发工程师,武汉-汉阳区,,18-35k·13薪,5-10年大专及以上,北京安帝科技有限公司,|网络安全|A轮|100-499人|,刘女士
高级java开发工程师,武汉,,15-25k·14薪,3-5年统招本科,华砺智行(武汉)科技有限公司,|计算机软件|天使轮|50-99人|,李先生
高级java开发工程师（武汉研发中心）,武汉,,10-20k·13薪,3-5年统招本科,泛华金控,|保险|美股上市|2000-5000人|,周女士
java开发工程师(武汉研发中心),武汉,,8-15k·13薪,1-3年统招本科,泛华金控,|保险|美股上市|2000-5000人|,周女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Java高级开发工程师,武汉-硚口区,,8-15k·14薪,3-5年统招本科,金蝶软件(中国)有限公司武汉分公司,|计算机软件|融资未公开|100-499人|,燕女士
