职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
java开发工程师,上海-长宁区,,7-15k,1-3年统招本科,北京国舜科技股份有限公司,|计算机软件|其他|100-499人|,齐女士
中级java开发工程师,上海-浦东新区,,13-18k,1-3年本科及以上,雷腾软件,|互联网/电商|新三板上市|100-499人|,王女士
JAVA开发工程师,上海,,15-25k·13薪,3-5年本科及以上,上海东方传媒技术有限公司,|广告/市场/会展|融资未公开|100-499人|,邱女士
高级Java开发工程师,上海-静安区,,20-40k·14薪,经验不限本科及以上,上海弼博信息技术有限公司,|互联网/电商|100-499人|,奚女士
资深Java软件工程师(TJ0004),上海-浦东新区,,15-20k,5-10年统招本科,万得,|互联网/电商|其他|2000-5000人|,姚女士
高级java开发工程师,上海,,25-30k·13薪,5-10年大专及以上,CDP集团,|专业服务|500-999人|,HR
java高级开发工程师,上海,,15-30k,3-5年统招本科,上海商涌科技有限公司,|互联网/电商|C轮|50-99人|,陈女士
资深Java,上海-闵行区,,30-50k,5-10年统招本科,上海某网络科技有限公司哈啰出行  ,|计算机软件|D轮及以上|5000-10000人|,高先生
java工程师,上海-虹口区,,8-10k,1-3年学历不限,某本地O2O平台,|O2O服务|不需要融资|1-49人|,叶先生
java,上海,,14-28k·14薪,3-5年统招本科,某知名上市公司,|计算机软件|融资未公开|2000-5000人|,裴女士
java开发工程师,上海,,15-30k,1-3年大专及以上,某知名车企,|计算机软件|1000-2000人|,张女士
java开发工程师,上海-长宁区,,15-20k·13薪,3-5年统招本科,某知名德国工业公司,|机械/机电/重工|1000-2000人|,孙先生
高级业务Java,上海,,25-40k,5-10年大专及以上,某国内行业前列金融公司,|互联网/电商|5000-10000人|,卞先生
业务Java（初级）,上海,,15-25k,3-5年大专及以上,某国内行业前列金融公司,|互联网/电商|5000-10000人|,卞先生
高级java开发工程师,上海,,20-40k,3-5年统招本科,某知名金融科技公司,|银行|战略融资|5000-10000人|,李女士
java开发/资深（后端开发）,上海-青浦区,,18-35k·14薪,3-5年统招本科,500强知名智慧物流公司,|交通/物流/运输|2000-5000人|,潘女士
高级（资深）Java开发工程师,上海,,45-75k·16薪,5-10年统招本科,外资互联网公司,|互联网/电商|500-999人|,张先生
java开发工程师,上海,,20-40k·15薪,1-3年统招本科,蚂蚁集团,|互联网/电商|已上市|10000人以上|,曾先生
Java高级开发工程师,上海,,19-28k·15薪,3-5年统招本科,某知名互联网金融公司,|互联网金融|融资未公开|2000-5000人|,吴女士
高级java开发经理,上海,,35-48k·16薪,3-5年统招本科,知名的互联网在线旅游公司,|互联网/电商|5000-10000人|,辛女士
java开发工程师,上海,,25-50k,3-5年统招本科,某新大型互联网公司,|互联网/电商|已上市|100-499人|,林女士
资深java工程师,上海,,55-85k,3-5年统招本科,某知名公司,|互联网/电商|融资未公开|2000-5000人|,施女士
Java开发工程师 -上海,上海-虹口区,,15-25k·15薪,3-5年统招本科,知名互联网公司,|计算机软件|1000-2000人|,汪女士
java开发（跨境电商平台经验）,上海-浦东新区,,15-25k·13薪,1-3年大专及以上,跨境电商,|电子商务|融资未公开|100-499人|,杨女士
资深/高级Java开发,上海-普陀区,,20-40k·15薪,5-10年统招本科,某知名企业级软件服务科技公司,|互联网/电商|100-499人|,李先生
Java开发工程师,上海,,13-18k·14薪,1-3年统招本科,亚太地区知名的智能语音和人工智能上市企业,|互联网/电商|2000-5000人|,周先生
java开发工程师,上海-长宁区,,15-30k·14薪,1-3年统招本科,上海某知名互联网公司,|互联网/电商|融资未公开|100-499人|,周女士
高级JAVA研发工程师,上海,,20-40k·14薪,3-5年统招本科,某知名互联网公司,|企业服务软件|1000-2000人|,杨女士
高级JAVA研发工程师,上海,,20-40k·14薪,3-5年统招本科,某知名互联网公司,|企业服务软件|1000-2000人|,杨女士
高级JAVA研发工程师,上海,,20-40k·14薪,3-5年统招本科,某知名互联网公司,|企业服务软件|1000-2000人|,杨女士
高级JAVA研发工程师,上海,,20-40k·14薪,3-5年统招本科,某知名互联网公司,|企业服务软件|1000-2000人|,杨女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
资深Java开发/Java技术专家（AIOT）,上海,,20-40k·13薪,3-5年本科及以上,上海钧正网络科技有限公司,|互联网/电商|D轮|5000-10000人|,曾先生
高级java开发工程师,上海,,20-25k·13薪,5-10年大专及以上,软通动力,|互联网/电商|10000人以上|,于先生
java后端工程师,上海-闵行区,,20-35k·13薪,5-10年统招本科,江苏集萃苏科思科技有限公司,|计算机软件|50-99人|,王女士
Software Technical Leader- Back-end (Java),上海-闵行区,,28-35k·13薪,5-10年硕士及以上,江苏集萃苏科思科技有限公司,|计算机软件|50-99人|,张女士
资深java开发工程师,上海-静安区,,23-27k·13薪,5-10年统招本科,顶昂科技,|汽车后市场|100-499人|,张女士
Java开发高级工程师,上海-松江区,,20-40k,3-5年本科及以上,泰尔重工股份有限公司,|机械/机电/重工|已上市|500-999人|,孔先生
