职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
java开发,杭州,,10-15k,1-3年统招本科,中天控股集团,|房地产/建筑|10000人以上|,王先生
java工程师,杭州-滨江区,,13-21k,3-5年统招本科,软通动力,|互联网/电商|10000人以上|,唐女士
中级java工程师,杭州-滨江区,,15-25k,3-5年本科及以上,深圳迅策科技有限公司,|互联网金融|B轮|100-499人|,杜女士
Java架构师（非事业编制）,杭州-上城区,,20-25k·13薪,3-5年本科及以上,中国电子口岸数据中心杭州分中心,|计算机软件|50-99人|,张女士
高级Java开发工程师（非事业编制）,杭州-上城区,,15-20k·13薪,3-5年统招本科,中国电子口岸数据中心杭州分中心,|计算机软件|50-99人|,张女士
Java架构师(J10028),杭州-西湖区,,25-40k·15薪,5-10年本科及以上,浙江诺诺网络科技有限公司,|互联网/电商|其他|500-999人|,杨女士
阿里云智能事业群-城市大脑-技术专家Java (城市安全)-北京/杭州,杭州,,面议,5-10年学历不限,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,HR
java高级开发工程师,杭州,,15-25k·14薪,3-5年统招本科,浙江华为,|通信业|融资未公开|500-999人|,方先生
Java业务架构师（风控） (MJ003399),杭州-西湖区,,20-45k·13薪,5-10年本科及以上,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
Java业务架构师（风控） (MJ003399),杭州,,20-45k·13薪,5-10年本科及以上,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
资深Java,杭州,,15-28k·13薪,5-10年本科及以上,杭州美创科技有限公司,|计算机软件|D轮|500-999人|,HR
Java工程师（驻外）,杭州-西湖区,,6-12k,1-3年大专及以上,网新恩普,|计算机软件|已上市|1000-2000人|,洪女士
JAVA高级开发工程师,杭州,,15-25k·13薪,5-10年本科及以上,创泰,|计算机软件|B轮|100-499人|,张先生
Java架构师,杭州-西湖区,,30-45k·15薪,5-10年统招本科,浙江诺诺网络科技有限公司,|互联网/电商|其他|500-999人|,杨女士
后端java开发工程师,杭州,,20-40k·16薪,经验不限统招本科,CL.HumanResourcese,|互联网/电商|不需要融资|100-499人|,田先生
java技术专家（新零售）,杭州-西湖区,,35-65k,5-10年统招本科,端点网络,|互联网/电商|A轮|500-999人|,张女士
高级java专家、负责人,杭州,,30-60k·16薪,5-10年统招本科,某数据独角兽大厂,|大数据|不需要融资|100-499人|,谢女士
java架构师,杭州,,20-40k·14薪,5-10年统招本科,某云计算,|互联网/电商|B轮|100-499人|,吴先生
java高级工程师,杭州,,20-30k,5-10年统招本科,图尔兹,|计算机软件|A轮|100-499人|,彭女士
Java技术架构师,杭州,,40-60k·16薪,5-10年统招本科,国内一线大厂,|互联网/电商|已上市|2000-5000人|,李先生
JAVA开发专家-杭州/北京,杭州,,35-65k·15薪,5-10年本科及以上,某头部互联网企业,|互联网/电商|2000-5000人|,游女士
资深java开发工程师,杭州-余杭区,,20-35k·14薪,经验不限统招本科,PRA创业公司,|互联网/电商|A轮|50-99人|,谢先生
Java技术架构师,杭州,,60-90k·15薪,5-10年统招本科,互联网某国内世界五百强企业,|互联网/电商|2000-5000人|,汪女士
高级java开发工程师,杭州-西湖区,,30-50k·16薪,3-5年学历不限,互联网金融大厂,|互联网金融|融资未公开|10000人以上|,朱先生
Java技术架构师,杭州,,40-70k·16薪,5-10年学历不限,互联网某国内500强企业,|互联网/电商|2000-5000人|,陶女士
高级java工程师,杭州-拱墅区,,30-45k·16薪,5-10年统招本科,一体化数据管理平台,|企业服务软件|A轮|50-99人|,麦先生
java架构师,杭州,,30-40k·16薪,5-10年学历不限,国内知名互联网公司,|大数据|B轮|500-999人|,吕先生
java高级工程师,杭州-拱墅区,,30-50k·13薪,5-10年统招本科,国内知名数据公司,|大数据|A轮|50-99人|,王女士
java开发工程师,杭州,,12-24k,1-3年统招本科,某新大型互联网公司,|互联网/电商|已上市|100-499人|,林女士
java开发负责人,杭州,,30-45k·14薪,经验不限统招本科,某知名公司,|互联网/电商|1000-2000人|,朱先生
java,杭州,,23-40k,3-5年统招本科,云上会展有限公司,|互联网/电商|500-999人|,冉女士
Java,杭州-滨江区,,15-20k·14薪,1-3年本科及以上,无锡创想分析仪器有限公司,|仪器/电气/自动化|100-499人|,刘女士
Java,杭州,,20-35k·16薪,1-3年本科及以上,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,罗先生
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
中级java开发工程师,杭州-西湖区,,10-15k,3-5年大专及以上,三盟,|IT服务|500-999人|,谢女士
JAVA资深开发,杭州,,15-30k·13薪,3-5年本科及以上,Rokid,|VR/AR|C轮|100-499人|,舒女士
中级java软件工程师,杭州-滨江区,,12-20k·13薪,1-3年大专及以上,杭州区鸽科技有限公司,|工程服务|1-49人|,黄先生
资深java开发工程师,杭州-余杭区,,15-25k,3-5年本科及以上,矩阵数据,|新能源/电动汽车|A轮|100-499人|,杨女士
java,杭州,,9-14k,1-3年大专及以上,中软联动,|IT服务|融资未公开|100-499人|,马女士
Java工程师,杭州-余杭区,,10-20k,3-5年本科及以上,浙江晶盛机电股份有限公司,|仪器/电气/自动化|沪深A股上市|2000-5000人|,李女士
高级java开发工程师,杭州,,15-30k,3-5年本科及以上,杭州腾展科技股份有限公司,|社交网络|已上市|100-499人|,罗女士
淘系技术部- java技术开发工程师,杭州,,25-50k·16薪,经验不限本科及以上,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,陈女士
java工程师,杭州-西湖区,,15-30k·14薪,3-5年本科及以上,浙江讯盟科技有限公司,|专业服务|C轮|100-499人|,胡女士
高级java开发工程师（平台效能组）,杭州,,20-30k·16薪,3-5年本科及以上,网易集团,|互联网/电商|已上市|10000人以上|,赵女士
资深Java开发（数据）-网易严选,杭州,,面议,3-5年本科及以上,网易集团,|互联网/电商|已上市|10000人以上|,许女士
java开发工程师,杭州-余杭区,,12-18k,1-3年统招本科,唱道文化传播,|互联网/电商|A轮|50-99人|,陈先生
java开发,杭州-余杭区,,10-20k·13薪,3-5年大专及以上,山东鲁班精装智慧科技有限公司,|计算机软件|100-499人|,孟先生
高级java工程师,杭州,,15-25k,3-5年大专及以上,华东医药,|制药/生物工程|已上市|10000人以上|,夏先生
资深java工程师,杭州,,25-35k·13薪,5-10年大专及以上,华东医药,|制药/生物工程|已上市|10000人以上|,夏先生
java工程师（杭州）,杭州-西湖区,,9-20k,3-5年本科及以上,艺高文化,|知识付费|100-499人|,孔女士
java工程师,杭州-萧山区,,5-7k·13薪,经验不限大专及以上,裕隆汽车金融(中国)有限公司,|基金/证券/投资|100-499人|,王先生
Java架构师（saas平台）,杭州,,35-50k·13薪,5-10年本科及以上,创泰,|计算机软件|B轮|100-499人|,张先生
高级java开发工程师,杭州,,15-35k·14薪,3-5年统招本科,圣都家居装饰有限公司,|规划/设计/装潢|5000-10000人|,黄女士
资深java工程师,杭州,,25-50k·14薪,5-10年统招本科,圣都家居装饰有限公司,|规划/设计/装潢|5000-10000人|,黄女士
对日JAVA软件开发(中高级SE),杭州,,13-20k,3-5年大专及以上,辛巴达软件,|计算机软件|100-499人|,赵先生
对日JAVA软件开发(初中级),杭州,,6-13k·13薪,1-3年大专及以上,辛巴达软件,|计算机软件|100-499人|,赵先生
对日JAVA软件开发(中高级SE),杭州,,13-20k·13薪,3-5年大专及以上,上海达巴辛,|计算机软件|100-499人|,赵先生
对日JAVA软件开发(初中级),杭州,,6-13k·13薪,1-3年大专及以上,上海达巴辛,|计算机软件|100-499人|,赵先生
