职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
中高级java工程师,北京,,16-26k·13薪,3-5年统招本科,中科软,|计算机软件|已上市|5000-10000人|,袁女士
高级JAVA开发工程师(J10414),北京-朝阳区,,15-30k,经验不限统招本科,容联易通信息北京,|互联网/电商|美股上市|100-499人|,郭女士
JAVA研发工程师（bxyf）,北京-大兴区,,30-55k·15薪,3-5年统招本科,京东科技集团,|人工智能|10000人以上|,杜女士
阿里妈妈技术-应用系统Java研发专家-北京/杭州,北京-朝阳区,,20-40k·16薪,3-5年统招本科,阿里巴巴集团,|互联网/电商|港股上市|10000人以上|,刘女士
java架构师,北京-海淀区,,20-35k,5-10年本科及以上,Baicells 佰才邦,|通信业|100-499人|,周先生
Java开发工程师-大厂 六险一金 上市公司,北京-通州区,,15-26k,5-10年大专及以上,人瑞网络,|互联网/电商|500-999人|,秦女士
java开发工程师（北京）,北京-海淀区,,6-12k·15薪,1-3年本科及以上,东信北邮,|通信业|1000-2000人|,苏女士
中级java开发工程师,北京-朝阳区,,16-32k·14薪,1-3年大专及以上,深圳市雪球科技有限公司,|互联网/电商|50-99人|,倪女士
java开发工程师,北京,,10-15k,1-3年统招本科,天相投顾,|基金/证券/投资|融资未公开|100-499人|,杨先生
高级java开发工程师,北京,,20-40k·16薪,5-10年统招本科,泰康保险集团股份有限公司,|保险|10000人以上|,邵女士
高级java开发工程师,北京-海淀区,,15-30k·13薪,5-10年统招本科,亿阳信通,|通信业|2000-5000人|,刘女士
高级java工程师,北京-海淀区,,15-22k·13薪,5-10年本科及以上,辰安天泽智联技术有限公司,|互联网+|100-499人|,张女士
Java开发工程师-Apple,北京-朝阳区,,15-25k,3-5年统招本科,软通动力分支机构,|互联网/电商|10000人以上|,李女士
Java开发工程师-英文,北京-朝阳区,,20-35k,5-10年本科及以上,软通动力分支机构,|互联网/电商|10000人以上|,李女士
java高级开发工程师,北京,,20-40k,3-5年硕士及以上,泰康保险集团股份有限公司,|保险|10000人以上|,赵女士
