职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
java开发工程师,深圳-宝安区,,15-28k,3-5年本科及以上,江苏丰尚智能科技有限公司,|机械/机电/重工|2000-5000人|,蔡茂顺
JAVA高级开发工程师,深圳-宝安区,,12-20k,5-10年本科及以上,世界头条,|互联网/电商|100-499人|,程女士
高级Java开发工程师 (MJ000439),深圳-南山区,,20-40k·14薪,经验不限统招本科,和讯华谷,|互联网/电商|美股上市|500-999人|,江女士
高级Java工程师(SaaS),深圳-南山区,,14-28k,5-10年本科及以上,云度新能源汽车,|汽车/摩托车|融资未公开|1000-2000人|,涂先生
Java开发工程师(YdqmRo),深圳-福田区,,15-25k·13薪,3-5年统招本科,联合(深圳)医疗咨询有限公司,|医疗机构|1000-2000人|,朱女士
高级Java开发工程师(J10173),深圳-南山区,,20-30k·14薪,5-10年本科及以上,昂楷科技,|计算机软件|C轮|100-499人|,刘女士
java高级开发工程师（项目组长）,深圳-龙岗区,,20-30k,5-10年本科及以上,深圳市企企通科技有限公司,|互联网+|C轮|500-999人|,冯女士
JAVA项目经理(J10246),深圳-南山区,,18-25k,5-10年大专及以上,昂楷科技,|计算机软件|C轮|100-499人|,刘女士
java开发工程师（聚合支付）,深圳,,10-20k·13薪,1-3年本科及以上,银盛支付,|互联网/电商|1000-2000人|,林女士
java架构师,深圳-龙岗区,,20-40k,10年以上统招本科,软通动力技术服务,|互联网/电商|10000人以上|,赵先生
初级java开发工程师,深圳,,15-30k·13薪,经验不限本科及以上,招商网络,|银行|2000-5000人|,卢先生
Java软件开发工程师（中/高级）,深圳-南山区,,15-30k·13薪,5-10年统招本科,招银网络,|银行|不需要融资|1000-2000人|,叶女士
Java软件开发工程师,深圳-南山区,,15-30k·13薪,3-5年统招本科,招银网络,|银行|不需要融资|1000-2000人|,叶女士
Java软件开发工程师（中/高级）,深圳-南山区,,15-30k·13薪,5-10年统招本科,招银网络,|银行|不需要融资|1000-2000人|,程先生
Java软件开发工程师,深圳-南山区,,15-30k·13薪,3-5年统招本科,招银网络,|银行|不需要融资|1000-2000人|,程先生
Java软件开发工程师（中/高级）,深圳-南山区,,15-30k·13薪,5-10年统招本科,招银网络,|银行|不需要融资|1000-2000人|,朱先生
Java软件开发工程师,深圳-南山区,,15-30k·13薪,3-5年统招本科,招银网络,|银行|不需要融资|1000-2000人|,朱先生
Java软件开发工程师（中/高级）,深圳-南山区,,15-30k·13薪,5-10年学历不限,招银网络,|银行|不需要融资|1000-2000人|,潘女士
Java软件开发工程师,深圳-南山区,,15-30k·13薪,3-5年统招本科,招银网络,|银行|不需要融资|1000-2000人|,潘女士
Java,深圳,,20-40k·13薪,3-5年统招本科,招银***,|互联网/电商|不需要融资|2000-5000人|,冉先生
java工程师,深圳-龙华区,,15-25k,3-5年统招本科,深圳市某网络科技有限公司 ,|互联网/电商|融资未公开|100-499人|,何先生
java架构师,深圳-福田区,,40-65k·15薪,5-10年统招本科,某金融科技公司,|金融科技|C轮|500-999人|,彭女士
Java开发工程师,深圳-南山区,,18-30k,1-3年统招本科,蘑菇金融,|金融科技|B轮|100-499人|,贺女士
java开发工程师,深圳,,25-50k·13薪,5-10年大专及以上,大型互联网公司,|互联网/电商|500-999人|,巴女士
高级Java开发工程师-采购供应链,深圳,,30-60k·20薪,经验不限统招本科,知名互联网大厂,|内容(音视频/阅读)|D轮及以上|10000人以上|,麦先生
java开发工程师,深圳,,15-25k,3-5年统招本科,HW,|通信业|10000人以上|,刘女士
中级java开发工程师,深圳,,15-20k·13薪,3-5年统招本科,深圳市银雁金融服务有限公司,|互联网金融|融资未公开|10000人以上|,李女士
java高级工程师,深圳-福田区,,20-25k·13薪,5-10年学历不限,全球前十IT咨询公司,|计算机软件|2000-5000人|,周女士
