职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
Java工程师,北京,,15-20k,---3-5年--本科及以上-,北京中欣银宝通支付服务有限公司,-O2O服务-战略投资-100-499人-,伊先生
java工程师,北京-朝阳区,,10-14k,---1-3年--大专及以上-,美兰德,-专业服务-50-99人-,孙女士
java研发工程师,北京-海淀区,,10-22k-13薪,---1-3年--统招本科-,亚信科技,-通信业-10000人以上-,张女士
Java,北京,,15-30k,---3-5年--统招本科-,颐圣智能,-互联网/电商-A轮-1-49人-,韩女士
高级java开发工程师,北京,,20-30k-13薪,---3-5年--统招本科-,海博思创,-新能源-500-999人-,张女士
JAVA开发 工程师（IoT）,北京-大兴区,,30-45k-14薪,---3-5年--统招本科-,京东科技集团,-人工智能-10000人以上-,白女士
java工程师,北京-朝阳区,,15-27k-15薪,---3-5年--统招本科-,百炼智能,-人工智能-A轮-100-499人-,任女士
JAVA架构师,北京-海淀区,,40-50k,---5-10年--统招本科-,天瑞集团,-采掘/冶炼/矿产-10000人以上-,赵女士
java工程师,北京,,25-45k,---5-10年--统招本科-,天津恒程科技有限公司,-计算机软件-1-49人-,张女士
资深java开发工程师,北京,,25-35k,---5-10年--本科及以上-,北京中欣银宝通支付服务有限公司,-O2O服务-战略投资-100-499人-,伊先生
高级java开发工程师,北京-海淀区,,15-30k,---5-10年--统招本科-,华瑞新智科技(北京)有限公司,-计算机软件-其他-50-99人-,任女士
Java开发高级工程师,北京-东城区,,15-30k-13薪,---3-5年--统招本科-,深圳顺丰泰森控股(集团)有限公司,-交通/物流/运输-10000人以上-,李女士
JAVA架构师（风险或数据系统）,北京-大兴区,,40-70k-14薪,---5-10年--统招本科-,京东科技集团,-人工智能-10000人以上-,白女士
java架构师,北京-大兴区,,30-50k-14薪,---5-10年--统招本科-,京东科技集团,-人工智能-10000人以上-,白女士
Java开发工程师(J368714),北京-朝阳区,,10-15k,---3-5年--统招本科-,我爱我家集团,-房地产服务-10000人以上-,余女士
java工程师,北京-海淀区,,20-25k-13薪,---3-5年--本科及以上-,金网络(北京)电子商务有限公司,-互联网金融-融资未公开-50-99人-,李女士
Java开发工程师,北京-丰台区,,20-30k-14薪,---3-5年--本科及以上-,长城汽车,-汽车/摩托车-已上市-10000人以上-,韩女士
java,北京,,10-14k,---3-5年--统招本科-,北京网医联盟科技有限公司,-互联网/电商-1-49人-,芦女士
高级java开发工程师,北京,,10-16k,---3-5年--统招本科-,北京网医联盟科技有限公司,-互联网/电商-1-49人-,芦女士
Java运维工程师,北京-朝阳区,,10-15k,---1-3年--本科及以上-,盟拓软件,-计算机软件-500-999人-,HR
JAVA服务器开发工程师,北京-海淀区,,15-30k,---3-5年--大专及以上-,广州乐牛游戏,-游戏开发-100-499人-,张女士
中高级java开发工程师,北京,,15-25k-14薪,---3-5年--统招本科-,中科天玑数据科技股份有限公司,-互联网/电商-战略投资-100-499人-,李女士
高级java开发工程师,北京-海淀区,,18-22k,---5-10年--大专及以上-,北京惠每云科技有限公司,-计算机软件-C轮-100-499人-,HR
Java开发运维工程师,北京,,7-10k,---3-5年--本科及以上-,盟拓软件,-计算机软件-500-999人-,HR
Java资深开发工程师,北京,,15-25k,---3-5年--统招本科-,汇成基金,-基金-50-99人-,由女士
Java高级开发工程师,北京-海淀区,,15-20k,---经验不限--本科及以上-,汇成基金,-基金-50-99人-,张女士
高级Java工程师,北京,,18-30k-15薪,---5-10年--本科及以上-,北京易控智驾科技有限公司,-计算机软件-B轮-50-99人-,汪女士
高级/资深Java开发工程师,北京,,25-50k-16薪,---3-5年--本科及以上-,网易集团,-互联网/电商-已上市-10000人以上-,肖女士
Java高级工程师-企业应用,北京-海淀区,,25-40k,---经验不限--本科及以上-,字节跳动,-互联网/电商-其他-10000人以上-,鲜女士
Java高级工程师,北京-海淀区,,25-40k,---经验不限--本科及以上-,字节跳动,-互联网/电商-其他-10000人以上-,鲜女士
JAVA开发工程师,北京,,12-20k,---3-5年--统招本科-,中科天玑数据科技股份有限公司,-互联网/电商-战略投资-100-499人-,于女士
java开发工程师,北京,,10-18k,---1-3年--本科及以上-,顺网科技,-云存储-沪深A股上市-1000-2000人-,朱女士
ｊａｖａ开发工程师,北京-海淀区,,20-40k,---5-10年--本科及以上-,北京能科瑞元数字技术有限公司,-计算机软件-100-499人-,张女士
Java服务端开发工程师,北京-朝阳区,,20-40k-14薪,---3-5年--统招本科-,北京安云世纪科技有限公司,-互联网/电商-100-499人-,刘先生
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java开发工程师,北京-海淀区,,20-25k,---3-5年--本科及以上-,北京惠每云科技有限公司,-计算机软件-C轮-100-499人-,HR
Java开发工程师（后端开发）,北京-朝阳区,,10-15k,---3-5年--统招本科-,亮亮视野,-AI行业应用-C轮-100-499人-,崔先生
java高级开发工程师,北京-西城区,,20-40k-24薪,---3-5年--统招本科-,某头部证券公司,-基金/证券/投资-已上市-5000-10000人-,刘先生
Java研发工程师/专家,北京-朝阳区,,30-60k,---5-10年--统招本科-,互联网大厂上市公司,-互联网/电商-2000-5000人-,苏女士
java开发工程师,北京,,25-30k-14薪,---5-10年--大专及以上-,某知名公司,-通信业-5000-10000人-,吕女士
Java架构师/技术专家,北京-东城区,,40-60k-14薪,---5-10年--统招本科-,知名O2O租车平台,-O2O服务-B轮-100-499人-,伍女士
JAVA开发工程师,北京,,15-20k,---经验不限--本科及以上-,电子商务平台,-互联网/电商-融资未公开-50-99人-,刘女士
Java高级研发经理,北京,,40-60k,---5-10年--统招本科-,北京某科技有限公司,-人工智能-C轮-500-999人-,赵女士
java开发工程师,北京-丰台区,,25-40k,---3-5年--统招本科-,某集团,-高端制造-2000-5000人-,辛女士
Java软件开发工程师,北京,,30-40k-15薪,---5-10年--统招本科-,某云计算,-互联网/电商-B轮-100-499人-,吴先生
Java架构师/资深架构师【年薪包：100-350万】,北京,,60-90k-14薪,---10年以上--统招本科-,上市公司—物流产业,-互联网/电商-已上市-10000人以上-,潘先生
广告后台leader Java,北京,,210-250k,---3-5年--统招本科-,某知名互联网公司,-互联网/电商-10000人以上-,历女士
资深java工程师,北京-海淀区,,50-70k-15薪,---5-10年--统招本科-,某大型智能机器人研发公司,-人工智能-C轮-500-999人-,李女士
高级java开发工程师（信贷方向）,北京-朝阳区,,35-45k-14薪,---5-10年--统招本科-,国内某持牌金融公司,-基金/证券/投资-100-499人-,任先生
Java资深研发经理,北京-朝阳区,,35-50k-15薪,---5-10年--统招本科-,某机器人互联网+公司,-互联网/电商-C轮-500-999人-,沈先生
Java高级开发工程师（账务方向）,北京,,30-55k-14薪,---5-10年--统招本科-,知名互联网公司,-互联网/电商-已上市-1000-2000人-,黄女士
java,北京,,27-50k,---5-10年--统招本科-,某知名大型互联网公司,-互联网金融-融资未公开-5000-10000人-,李女士
Java开发工程师,北京,,30-40k-14薪,---1-3年--统招本科-,中国知名的互联网公司,-互联网/电商-5000-10000人-,张女士
生物信息／信息技术经理／Java开发工程师／数据中心OS工程师／DBA数据库管理员	,北京,,20-40k-15薪,---经验不限--统招本科-,上市龙头生物制药公司,-制药/生物工程-已上市-2000-5000人-,邓女士
java开发专家,北京-朝阳区,,30-45k-16薪,---1-3年--统招本科-,互联网金融公司,-互联网金融-D轮及以上-10000人以上-,商女士
Java Developer Java工程师,北京-朝阳区,,22-35k-14薪,---3-5年--统招本科-,德国高端车企,-车联网-不需要融资-10000人以上-,肖女士
Java服务器,北京-朝阳区,,28-40k-14薪,---3-5年--统招本科-,知名游戏公司,-游戏产业-已上市-100-499人-,陈女士
Java后端开发工程师,北京-西城区,,12-22k-13薪,---3-5年--本科及以上-,倍佳国际,-咨询服务-融资未公开-1-49人-,杨女士
Java高级工程师,北京,,25-40k-15薪,---3-5年--统招本科-,某密码安全厂商,-企业安全-天使轮-50-99人-,赵先生
资深java架构师,北京,,60-70k,---5-10年--本科及以上-,北京某闲置奢侈品交易直播平台,-互联网/电商-100-499人-,周先生
高级java工程师,北京,,30-60k,---5-10年--学历不限-,北京某公司,-计算机软件-融资未公开-50-99人-,许女士
Java开发工程师/专家,北京-朝阳区,,30-60k-16薪,---经验不限--本科及以上-,某知名互联网大厂,-互联网金融-10000人以上-,刘先生
Java,北京,,30-60k-14薪,---3-5年--统招本科-,知名互联网公司,-互联网/电商-已上市-1000-2000人-,黄女士
java软件开发工程师（信贷/核算）,北京-朝阳区,,40-50k-13薪,---经验不限--统招本科-,知名持牌消金公司,-银行-100-499人-,邱先生
java架构师,北京,,30-50k,---5-10年--大专及以上-,国内某知名国企集团公司,-IT服务-2000-5000人-,高先生
JAVA工程师,北京,,25-36k,---5-10年--本科及以上-,国内控股集团,-B2B-5000-10000人-,吕先生
资深java架构师,北京-海淀区,,70-85k,---5-10年--统招本科-,某知名互联网公司,-自动驾驶-A轮-100-499人-,朱女士
高级java工程师,北京,,8-13k-16薪,---经验不限--硕士及以上-,唐山某知名日企,-大数据-融资未公开-500-999人-,杨女士
高级java开发工程师,北京,,30-50k-16薪,---经验不限--统招本科-,某知名游戏公司,-互联网/电商-B轮-100-499人-,曹女士
java开发工程师,北京-朝阳区,,20-40k-16薪,---3-5年--统招本科-,国内知名企业,-计算机软件-已上市-10000人以上-,方先生
java后端开发工程师,北京,,20-35k,---3-5年--统招本科-,某政府科技公司,-计算机软件-已上市-500-999人-,蔡先生
高级java工程师,北京-朝阳区,,25-50k-14薪,---3-5年--统招本科-,国内知名互联网公司,-互联网/电商-500-999人-,徐佳佳
中高级java工程师,北京-海淀区,,20-25k-14薪,---3-5年--统招本科-,某知名公司,-社交网络-其他-1000-2000人-,江先生
java架构师,北京-朝阳区,,40-70k-16薪,---5-10年--统招本科-,某知名公司,-社交网络-其他-1000-2000人-,江先生
java开发工程师,北京,,22-27k,---经验不限--统招本科-,国企，世界500强,-人工智能-1000-2000人-,刘女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java高级软件工程师-智能制造,北京,,20-40k-16薪,---3-5年--本科及以上-,某著名外资集团公司,-计算机软件-5000-10000人-,李女士
Java AWS developer engineer,北京,,25-40k-13薪,---经验不限--本科及以上-,某芯片通信高科技公司,-电子/芯片/半导体-B轮-100-499人-,陈先生
Java,北京,,18-30k-14薪,---5-10年--统招本科-,北京易橙天下科技有限公司,-社交网络-100-499人-,杜女士
软件工程师java,北京,,18-35k,---3-5年--统招本科-,北京宇信科技集团股份有限公司,-IT服务-已上市-10000人以上-,郝女士
后端java开发工程师,北京-丰台区,,12-18k,---3-5年--大专及以上-,南京云旭和信息科技有限公司,-计算机软件-A轮-50-99人-,万女士
Java开发工程师（anfu）,北京-海淀区,,20-28k,---5-10年--统招本科-,北京吉大正元信息技术有限公司,-计算机软件-沪深A股上市-1000-2000人-,孙女士
中级java开发工程师-研发中心,北京-海淀区,,20-27k,---5-10年--统招本科-,北京吉大正元信息技术有限公司,-计算机软件-沪深A股上市-1000-2000人-,孙女士
初级java开发工程师,北京-海淀区,,15-20k,---3-5年--统招本科-,北京吉大正元信息技术有限公司,-计算机软件-沪深A股上市-1000-2000人-,孙女士
Java后端工程师-AI课程,北京,,25-40k,---3-5年--本科及以上-,网易集团,-互联网/电商-已上市-10000人以上-,顾女士
Java开发工程师 (MJ000071),北京-朝阳区,,15-30k-14薪,---3-5年--统招本科-,易宝支付,-互联网/电商-1000-2000人-,闫女士
Java开发工程师 (MJ000069),北京-朝阳区,,15-30k-14薪,---3-5年--统招本科-,易宝支付,-互联网/电商-1000-2000人-,闫女士
Java开发工程师 (MJ000065),北京-朝阳区,,15-30k-14薪,---3-5年--统招本科-,易宝支付,-互联网/电商-1000-2000人-,闫女士
JAVA开发工程师,北京-朝阳区,,10-16k,---3-5年--本科及以上-,杰之能软件,-计算机软件-A轮-100-499人-,陆女士
JAVA服务器开发工程师,北京-海淀区,,15-30k-14薪,---1-3年--统招本科-,智米科技,-家具/家电-100-499人-,王女士
后端开发工程师(java 高级),北京-石景山区,,20-30k-14薪,---5-10年--本科及以上-,北京赛昇科技有限公司,-专业服务-50-99人-,罗女士
java,北京,,11-20k,---3-5年--大专及以上-,中软联动,-IT服务-融资未公开-100-499人-,马女士
java工程师,北京-海淀区,,10-20k-13薪,---3-5年--本科及以上-,北京世纪瑞尔技术股份有限公司,-安全监控-沪深A股上市-100-499人-,刘女士
java,北京-昌平区,,8-13k,---经验不限--大专及以上-,阁瑞钛伦特软件(北京)有限公司,-计算机软件-融资未公开-100-499人-,徐先生
java工程师,北京-平谷区,,8-13k,---经验不限--大专及以上-,阁瑞钛伦特软件(北京)有限公司,-计算机软件-融资未公开-100-499人-,秦女士
java工程师,北京-昌平区,,8-13k,---经验不限--大专及以上-,阁瑞钛伦特软件(北京)有限公司,-计算机软件-融资未公开-100-499人-,张先生
java工程师,北京-东城区,,8-13k,---经验不限--大专及以上-,阁瑞钛伦特软件(北京)有限公司,-计算机软件-融资未公开-100-499人-,徐女士
java,北京-东城区,,10-13k,---经验不限--大专及以上-,北京迈捷映博科技有限公司,-电子商务-100-499人-,梁女士
