id,名称,总阅读数,总鲜花数,总催更票数,总打赏(单位万),总月票数,总分享次数,评分,好评人数,小说分类
62,疯了吧，撩我干嘛？我是反派啊！,792665,50702,38,417000.0,55,3,10,5481人,都市言情
63,视频通武侠：修仙的我瞒不住了,1642422,140079,82,78880000.0,38,0,10,12728人,武侠仙侠
64,三霄遗言：其实我们还有个大师兄,691938,131643,7,1250000.0,7,0,10,754人,玄幻奇幻
65,苟成仙的我，被诸天盘点曝光了,3502437,278273,125,92040000.0,57,0,10,31648人,同人小说
66,洪荒：开局把诸天上交给通天教主,1392750,109272,47,333000.0,7,0,10,5887人,玄幻奇幻
67,我！未来时空破坏神，开局变超五,605789,202220,6,552000.0,120,0,10,7781人,同人小说
68,美食：从大学食堂掌大勺开始,2172580,293745,107,80640000.0,78,1,10,22860人,都市言情
69,家住鬼镇：女儿玩伴都是厉鬼,771310,119213,46,260000.0,90,0,10,10048人,恐怖灵异
70,反派：偷看日记，女主们人设崩了,3517614,1272667,493,77000.0,67,0,10,62164人,都市言情
71,此刻，整个江湖在天师一人之下！,978962,1767218,7,11000.0,25,0,10,9055人,武侠仙侠
72,毒宠奶爸：女儿宠物全是致命毒物,1540830,166950,149,31000.0,28,1,10,13609人,都市言情
73,直播算命：水友你头上有点绿,6675424,1640638,656,97000.0,97,1,10,126004人,都市言情
74,四合院：霸占我房子，还要我滚？,512703,60968,0,187000.0,1,0,10,1538人,同人小说
75,洪荒：我北海玄龟，自行撑天！,532701,25548,0,211000.0,14,0,10,3384人,武侠仙侠
76,穿成女反派管家，老板你不对劲啊,515570,123599,9,703000.0,65,1,10,5242人,都市言情
77,我能复制天赋,45365608,7512795,4964,606000.0,88,633,10,906801人,玄幻奇幻
78,开局被希罗娜退婚：转手毁灭神奥,612409,158965,85,92920000.0,41,0,10,13620人,同人小说
79,大秦：熊孩子监国，开局杀赵高,2012563,145452,137,106000.0,42,0,10,13283人,军事历史
80,代管火凤凰，我竟成了魔神教官,727560,61496,40,27000000.0,52,0,10,5762人,军事历史
81,全民奇迹：开局获得火种源,1691742,372994,46,264000.0,90,0,10,28845人,都市言情
82,我专业开锁，你锁我车，闹呢！,910918,238429,57,26000.0,66,0,10,10010人,都市言情
83,次元视频 ：盘点次元不正经人物,1126487,60728,29,521000.0,17,0,10,6477人,同人小说
84,开局制作精灵游戏：主播玩疯了！,752332,237059,64,230000.0,179,0,10,19116人,都市言情
85,重生1978：从今天开始当大亨,2845808,318277,110,335000.0,77,0,10,36677人,都市言情
86,震惊！他在民国就是首富了,1024174,259372,44,20000.0,132,3,10,22504人,军事历史
87,儿子是重生者，我能听到他心声,7308963,1011955,270,23000.0,58,0,10,75821人,都市言情
88,我拍摄盗笔，考古队现场抄作业,507080,151775,67,341000.0,101,0,10,8718人,都市言情
89,精灵:我的王牌是四圣兽,774030,100641,23,372000.0,69,0,10,17584人,同人小说
90,开局司空震雷神法相，被校花直播,2491297,513781,548,43000.0,103,0,10,33187人,都市言情
91,洪荒：夭寿了，这只金乌太苟了,823259,109796,2,667000.0,107,0,10,7051人,玄幻奇幻
92,玄幻：提取杂质，火鸡变凤凰！,972385,233173,376,468000.0,152,0,10,12406人,玄幻奇幻
93,民国：在美洲修仙,1403495,283664,45,113000.0,68,0,10,15298人,军事历史
94,玄幻：无限制修改的我，独断万古！,5577376,1553050,868,536000.0,118,6,10,104056人,玄幻奇幻
