职位名称,公司名称,工作地点,参考月薪,学历,发布时间
Java项目开发助理,厦门谦迅达网络科技有限公司,厦门市、厦门市思明区、厦门市湖里区、厦门市海沧区、厦门市集美区、厦门市翔安区、厦门市同安区,4000-5000,大专,2021-11-06 08:23
Java软件开发助理,厦门森蓝互动信息技术有限公司,厦门市、厦门市思明区、厦门市湖里区,4300-5000,大专,2021-11-06 08:23
java+AI开发实习生,厦门森蓝互动信息技术有限公司,厦门市,4200-6000,大专,2021-11-06 08:23
初级java工程师,厦门森蓝互动信息技术有限公司,厦门市、厦门市思明区,4500-7000,大专,2021-11-06 08:23
JAVA工程师,天成慧康（厦门）信息科技有限公司,厦门市,6000-12000,,2021-11-05 22:48
JAVA研发工程师（中、高级）,厦门创世线程科技有限公司,福建省、厦门市、厦门市思明区,12000-18000,大专,2021-11-05 19:14
JAVA实习生（全职）,厦门创世线程科技有限公司,福建省、厦门市、厦门市思明区,3000-5000,本科,2021-11-05 19:14
JAVA研发工程师（初级）,厦门创世线程科技有限公司,福建省、厦门市、厦门市思明区,6000-12000,大专,2021-11-05 19:14
储备干部/见习人员（智能化设计、JAVA开发方向）,福建亿安智能技术有限公司,漳州市,4000-8000,大专,2021-11-05 18:18
java后端开发工程师,福建亿安智能技术有限公司,漳州市,6000-12000,大专,2021-11-05 18:18
开发经理（JAVA）,厦门市四美达科技发展有限公司,厦门市,12000-20000,本科,2021-11-05 18:16
JAVA开发工程师,厦门爱陆通通信科技有限公司,厦门市集美区,10000-20000,本科,2021-11-05 18:06
JAVA开发工程师,厦门求同信息科技有限公司,厦门市湖里区,10000-20000(底薪：8000-16000+提成),本科,2021-11-05 18:00
Java开发工程师,厦门物之联智能科技有限公司,厦门市集美区、厦门市,15000-25000,本科,2021-11-05 18:00
高级JAVA架构师,厦门农芯数字科技有限公司,厦门市湖里区,15000-30000,本科,2021-11-05 17:59
高级Java开发工程师,厦门农芯数字科技有限公司,厦门市湖里区,15000-30000,大专,2021-11-05 17:59
java开发工程师,漳州蒙发利实业有限公司,福建省、漳州市、厦门市海沧区,5000-8000,大专,2021-11-05 17:58
java实习生,厦门集微科技有限公司,厦门市集美区,3000-4000,本科,2021-11-05 17:58
java开发工程师,厦门赛摩积硕科技有限公司,厦门市思明区,6000-10000,大专,2021-11-05 17:51
JAVA工程师,厦门斯玛特思智能电气有限公司,厦门市集美区,7000-12000,本科,2021-11-05 17:37
JAVA开发工程师,厦门优胜卫厨科技有限公司,厦门市海沧区,,本科,2021-11-05 17:33
中高级JAVA开发工程师,厦门万帮修科技服务有限公司,厦门市湖里区,8000-15000,本科,2021-11-05 17:32
JAVA工程师,英富保软件科技（厦门）有限公司,厦门市集美区,8000-15000,本科,2021-11-05 17:26
JAVA开发工程师,厦门正观易知科技有限公司,厦门市思明区,10000-15000,本科,2021-11-05 17:19
JAVA开发经理,厦门大秉科技有限公司,厦门市、厦门市湖里区,15000-20000,本科,2021-11-05 17:18
Java工程师,厦门大秉科技有限公司,厦门市湖里区,6000-8000,大专,2021-11-05 17:18
