职位名称,公司名称,工作地点,参考月薪,学历,发布时间
运维实施工程师,厦门市盛迅信息技术股份有限公司,福建省、厦门市、厦门市思明区,5000-7000,,2021-11-05 09:21
服务器运维工程师,福建中奎环保科技有限公司,厦门市湖里区,11000-16000,大专,2021-11-05 09:21
运维项目主管,厦门兆慧网络科技有限公司,厦门市,8000-10000,本科,2021-11-05 09:18
SAP FICO运维工程师,厦门建霖健康家居股份有限公司,厦门市集美区,12000-20000,,2021-11-05 09:07
SAP MM运维工程师,厦门建霖健康家居股份有限公司,厦门市集美区,12000-20000,大专,2021-11-05 09:07
SAP PP运维工程师,厦门建霖健康家居股份有限公司,厦门市集美区,12000-20000,大专,2021-11-05 09:07
SAP SD运维工程师,厦门建霖健康家居股份有限公司,厦门市集美区,12000-20000,大专,2021-11-05 09:07
运维助理工程师,厦门四信物联网科技有限公司,厦门市集美区,,本科,2021-11-05 09:06
运维开发工程师,厦门梦加网络科技股份有限公司,厦门市集美区,10000-18000,,2021-11-05 09:04
运维工程师,厦门畅享信息技术有限公司,厦门市,,大专,2021-11-05 09:04
运维数据分析工程师,中交（厦门）电子商务有限公司,厦门市集美区,,本科,2021-11-05 08:56
技术运维工程师,厦门熙重电子科技有限公司,厦门市,4000-7000,本科,2021-11-05 08:54
信息化专员（办公系统运维）,厦门攸信信息技术有限公司,厦门市海沧区,,本科,2021-11-05 08:42
项目运维工程师,厦门航天信息有限公司,厦门市、厦门市集美区,,大专,2021-11-05 08:35
运维工程师,厦门航天信息有限公司,厦门市、厦门市思明区、厦门市湖里区、厦门市集美区,4500-7000,大专,2021-11-05 08:35
运维开发工程师,厦门航天信息有限公司,厦门市集美区,4000-7000,大专,2021-11-05 08:35
自助终端运维工程师,厦门航天信息有限公司,厦门市、厦门市集美区,4000-7000,大专,2021-11-05 08:35
系统运维工程师,厦门航天信息有限公司,厦门市集美区、厦门市、厦门市思明区,5000-8000,大专,2021-11-05 08:35
运维工程师,厦门海实科技有限公司,厦门市集美区,8000-12000,本科,2021-11-05 08:20
运维工程师,福建易联众医卫信息技术有限公司,厦门市思明区、南平市,5000-8000,大专,2021-11-04 17:28
IT运维专员,依思有限公司,厦门市,3500-4500,,2021-11-04 16:39
实习生、应届毕业生（系统、运维、网络、安全工程师、项目经理等）,中电长城网际系统应用有限公司厦门分公司,福建省、莆田市、厦门市,,,2021-11-04 15:04
运维工程师,厦门忻德信息技术有限公司,厦门市集美区,8000-13000,本科,2021-11-04 14:55
运维工程师,厦门民航凯亚有限公司,厦门市思明区,4000-8000,本科,2021-11-04 14:31
运维工程师,科技谷（厦门）信息技术有限公司,福建省、厦门市、厦门市湖里区,8000-13000,本科,2021-11-04 14:24
运维工程师/系统管理员,亚尔迪（厦门）科技有限公司,厦门市集美区,5000-7000,大专,2021-11-04 14:12
财务运维工程师（FICO）,中乔体育股份有限公司,厦门市,,,2021-11-04 13:35
系统运维工程师,厦门大洋通信有限公司,厦门市湖里区,,大专,2021-11-04 11:47
实习生-运维专员,厦门康耀信息科技有限公司,福建省、厦门市,3500-7000(底薪：3000-6000+提成),中专,2021-11-04 11:00
运维工程师,厦门康耀信息科技有限公司,厦门市,6000-10000(底薪：3000-6000+提成),中专,2021-11-04 11:00
运维专员,厦门海投物业有限公司,厦门市海沧区,7000-10000,本科,2021-11-04 09:59
运维工程师,厦门革新塑胶制品有限公司,厦门市、厦门市集美区,6500-10000,,2021-11-04 09:50
网络运维工程师,三龙集团有限公司,漳州市,4000-8000,大专,2021-11-04 09:23
运维工程师,厦门市明源云智慧科技有限公司,厦门市,6000-8500,,2021-11-04 09:10
开发运维工程师,家乡互动（厦门）网络科技有限公司,厦门市,,本科,2021-11-04 09:04
IT运维工程师,厦门佐纳服饰有限公司,厦门市集美区,6000-8000,大专,2021-11-04 08:58
网络运维,厦门立方幻境科技有限公司,厦门市,4000-6000,大专,2021-11-04 08:51
售后运维工程师,厦门立方幻境科技有限公司,厦门市,4000-6000,,2021-11-04 08:51
（急聘）安全运维工程师,福建元信泰智能科技有限公司,厦门市,5000-10000,大专,2021-11-04 08:41
服务器运维工程师,恒申控股集团有限公司,福州市,8000-12000,本科,2021-11-03 20:08
