职位名称,公司名称,工作地点,参考月薪,学历,发布时间
IT项目经理,厦门象屿集团有限公司,厦门市,10000-13000,本科,2021-11-04 11:49
初级智能化工程项目经理,厦门康耀信息科技有限公司,厦门市,7000-12000(底薪：5000-8000+提成),大专,2021-11-04 11:00
MES实施项目经理,友达光电（厦门）有限公司,福建省、厦门市、厦门市翔安区,10000-15000,本科,2021-11-04 10:36
项目经理(项目经理),奇秦科技（北京）股份有限公司,厦门市集美区,12000-20000,本科,2021-11-04 09:28
项目经理（IT）,厦门市明源云智慧科技有限公司,厦门市,15000-20000,大专,2021-11-04 09:10
安全服务项目经理,厦门卓网信息科技股份有限公司,厦门市,4000-8000,,2021-11-03 14:15
软件项目经理,福建亿能电力科技股份有限公司,厦门市集美区,10000-20000,本科,2021-11-03 10:18
MES项目经理J11321,立达信物联科技股份有限公司,厦门市湖里区,12000-20000,本科,2021-11-02 14:44
BIM项目经理（土建 /机电）,佰模伝信息科技（厦门）有限公司,厦门市,,大专,2021-11-02 09:57
项目经理(项目经理),厦门金蝶软件有限公司,厦门市,,本科,2021-11-01 16:33
项目经理(项目经理),厦门市云苍穹信息科技有限公司,厦门市,8000-15000(底薪：6000-8000+提成),大专,2021-11-01 13:23
项目经理(项目经理),厦门同创空间信息技术有限公司,厦门市集美区,10000-15000,本科,2021-10-29 10:23
项目经理（Java）,易联众民生（厦门）科技有限公司,厦门市,8000-15000,本科,2021-10-28 16:48
项目经理（泉州）,南威软件集团,泉州市,,本科,2021-10-27 09:37
项目经理(项目经理),厦门智慧图信息科技有限公司,厦门市、厦门市湖里区,8000-15000,,2021-10-27 09:09
地理数据处理项目经理,厦门智慧图信息科技有限公司,厦门市、厦门市湖里区,6000-12000,,2021-10-27 09:09
项目经理（JAVA方向）,中电金信软件有限公司,厦门市,10000-20000,本科,2021-10-26 23:37
项目经理(项目经理),厦门锐特信息技术有限公司,厦门市集美区,,大专,2021-10-25 14:01
项目经理(项目经理),厦门中联宏裕信息技术有限公司,厦门市、厦门市湖里区,10000-20000(底薪：5000-10000+提成),大专,2021-10-20 23:33
项目经理(项目经理),厦门富立新科技有限公司,厦门市,8000-10000(底薪：5000-6000+提成),大专,2021-10-20 14:33
ERP项目经理,福建企企科技有限公司,厦门市,10000-20000,大专,2021-10-20 11:02
IT项目经理,厦门燕之屋生物工程股份有限公司,厦门市思明区,15500-17500,大专,2021-10-20 09:10
BI项目经理（数据仓库）,鸿星尔克（厦门）实业有限公司,厦门市、厦门市思明区,,大专,2021-10-19 16:18
营销总监（项目经理）,厦门市鹏力信息技术有限公司,厦门市湖里区,10000-20000(底薪：5000-10000+提成),大专,2021-10-18 23:21
所属厦门海翼工业互联网有限公司项目经理,厦门海翼集团有限公司,厦门市思明区,8000-15000,本科,2021-10-09 11:29
