职位名称,公司名称,工作地点,参考月薪,学历,发布时间
图像算法应用工程师,厦门科拓通讯技术股份有限公司,厦门市,,本科,2021-11-05 11:05
图像算法研究员,厦门科拓通讯技术股份有限公司,厦门市,,本科,2021-11-05 11:05
产品应用演算法工程师,芯群集成电路（厦门）有限公司,厦门市思明区,,本科,2021-11-05 09:37
C/C++算法工程师,芜湖盟博科技有限公司,厦门市思明区,10000-20000,本科,2021-11-05 09:27
融合算法工程师,芜湖盟博科技有限公司,厦门市思明区,15000-30000,本科,2021-11-05 09:27
资深算法工程师,厦门农芯数字科技有限公司,厦门市湖里区,20000-30000,本科,2021-11-05 09:19
初级算法工程师,厦门农芯数字科技有限公司,厦门市湖里区,10000-20000,本科,2021-11-05 09:19
算法工程师,厦门知本家科技有限公司,厦门市湖里区,20000-25000,大专,2021-11-05 09:18
算法实习生,厦门兆慧网络科技有限公司,厦门市思明区,2000-2500,,2021-11-05 09:18
算法工程师,厦门兆慧网络科技有限公司,厦门市思明区,15000-25000,硕士研究生,2021-11-05 09:18
图像算法工程师,厦门四信通信科技有限公司,厦门市集美区,10000-20000,本科,2021-11-05 09:10
机器学习算法工程师,厦门畅享信息技术有限公司,厦门市,,本科,2021-11-05 09:04
AGV运动控制算法工程师,天海欧康科技信息（厦门）有限公司,厦门市湖里区,15000-20000,本科,2021-11-05 09:00
深度学习算法工程师,厦门诺博视科技有限公司,厦门市集美区,6000-12000,本科,2021-11-05 08:57
算法工程师（OPENGL/VTK）,大博医疗科技股份有限公司,厦门市,,本科,2021-11-05 08:41
调度算法工程师,福建（泉州）哈工大工程技术研究院,泉州市,8000-15000,本科,2021-11-05 08:28
图像识别算法工程师,厦门金龙联合汽车工业有限公司,厦门市集美区,7000-10000,本科,2021-11-05 08:12
车辆控制策略算法工程师,厦门金龙联合汽车工业有限公司,厦门市集美区,7000-10000,本科,2021-11-05 08:12
深度学习算法工程师,厦门渊亭信息科技有限公司,厦门市思明区,15000-30000,本科,2021-11-04 13:34
机器学习算法工程师,厦门渊亭信息科技有限公司,厦门市思明区,15000-20000,本科,2021-11-04 13:34
深度学习算法工程师,厦门黑镜科技有限公司,厦门市思明区,20000-40000,硕士研究生,2021-11-04 12:58
