职位名称,公司名称,工作地点,参考月薪,学历,发布时间
中高级嵌入式工程师,厦门万宾科技有限公司,厦门市集美区,,大专,2021-11-05 11:29
嵌入式软件开发工程师（C/C++）,厦门科拓通讯技术股份有限公司,厦门市,,大专,2021-11-05 11:05
GNSS高精度定位嵌入式工程师,芜湖盟博科技有限公司,厦门市思明区,15000-30000,硕士研究生,2021-11-05 09:27
嵌入式软件工程师（视频方向）,厦门四信通信科技有限公司,厦门市集美区,10000-20000,本科,2021-11-05 09:10
嵌入式单片机工程师,厦门四信通信科技有限公司,厦门市集美区,7000-14000,本科,2021-11-05 09:10
嵌入式linux软件工程师（视方向）,厦门四信通信科技有限公司,厦门市,10000-20000,本科,2021-11-05 09:10
高级嵌入式软件工程师（物联网）,厦门四信物联网科技有限公司,厦门市集美区,15000-20000,本科,2021-11-05 09:06
嵌入式软件工程师（智慧消防）,厦门四信物联网科技有限公司,厦门市集美区,15001-25000,本科,2021-11-05 09:06
嵌入式开发工程师（ABB）,厦门乐石科技有限公司,厦门市翔安区,8000-15000,本科,2021-11-05 09:04
嵌入式软件工程师,睿科集团（厦门）股份有限公司,厦门市湖里区,10000-15000,无,2021-11-05 09:04
嵌入式开发工程师,天海欧康科技信息（厦门）有限公司,厦门市思明区,,本科,2021-11-05 09:00
嵌入式单片机工程师,厦门立林集团有限公司,厦门市集美区,8000-15000,本科,2021-11-05 09:00
嵌入式软件工程师-linux,厦门立林集团有限公司,厦门市集美区,,本科,2021-11-05 09:00
C/C++嵌入式（单片机）,厦门立林集团有限公司,厦门市集美区,,本科,2021-11-05 09:00
嵌入式软件开发工程师,厦门威尔信息技术有限公司,厦门市,10000-15000,本科,2021-11-05 08:53
嵌入式软件工程师,厦门飞瑞致远教育科技有限公司,厦门市集美区,3500-6000,本科,2021-11-05 08:49
嵌入式软件工程师,厦门汉印实业有限公司,厦门市湖里区,7000-14000,本科,2021-11-05 08:48
高级嵌入式软件工程师,厦门汉印实业有限公司,厦门市湖里区,13000-26000,本科,2021-11-05 08:48
嵌入式软件工程师,厦门海荭兴仪器股份有限公司,厦门市集美区,7000-10000,大专,2021-11-05 08:46
嵌入式软件工程师（2022校园招聘）,厦门攸信信息技术有限公司,厦门市海沧区,,本科,2021-11-05 08:42
嵌入式（linux）工程师,大博医疗科技股份有限公司,厦门市,8000-12000,本科,2021-11-05 08:41
高级嵌入式开发工程师,漳州立达信光电子科技有限公司,厦门市湖里区,15000-20000,本科,2021-11-05 08:37
嵌入式软件工程师,厦门正艾科技有限公司,厦门市集美区,8000-16000,本科,2021-11-05 08:32
嵌入式软件工程师,福建（泉州）哈工大工程技术研究院,泉州市,8000-15000,本科,2021-11-05 08:28
嵌入式软件开发工程师,厦门金龙联合汽车工业有限公司,厦门市集美区,7000-10000,本科,2021-11-05 08:12
彼格科技-嵌入式软件工程师,厦门宏发电声股份有限公司,厦门市集美区,,本科,2021-11-05 08:11
嵌入式软件工程师,厦门斯坦道科学仪器股份有限公司,厦门市、厦门市思明区、福建省,8000-15000,本科,2021-11-04 17:00
嵌入式软件工程师,漳州视瑞特光电科技股份有限公司,福建省、厦门市,20000-35000,本科,2021-11-04 16:49
嵌入式Linux软件工程师,厦门拓宝科技有限公司,厦门市海沧区,,大专,2021-11-04 16:03
嵌入式软件工程师,厦门拓宝科技有限公司,厦门市海沧区,,本科,2021-11-04 16:03
高级嵌入式软件工程师,厦门拓宝科技有限公司,厦门市海沧区,,本科,2021-11-04 16:03
嵌入式C/C++工程师,新诺北斗航科信息技术（厦门）股份有限公司,厦门市集美区,5000-10000,本科,2021-11-04 14:06
嵌入式软件开发,厦门四信智慧电力科技有限公司,厦门市集美区、深圳市,,本科,2021-11-04 14:02
嵌入式软件工程师,厦门四信智慧电力科技有限公司,厦门市集美区,,本科,2021-11-04 14:02
嵌入式软件工程师,厦门四信智慧电力科技有限公司,厦门市集美区,10000-15000,本科,2021-11-04 14:02
嵌入式软件工程师,厦门大洋通信有限公司,厦门市湖里区,,本科,2021-11-04 11:47
嵌入式软件开发工程师助理（应届生）,厦门大洋通信有限公司,厦门市,,本科,2021-11-04 11:47
嵌入式软件工程师（应届生）,慧翰微电子股份有限公司,厦门市,,,2021-11-04 09:37
嵌入式单片机工程师,柏科智能（厦门）科技有限公司,厦门市集美区,10000-20000,大专,2021-11-04 09:14
嵌入式软件工程师（急聘）,厦门凯胜诺科技有限公司,厦门市集美区,10000-20000,本科,2021-11-04 09:11
资深嵌入式工程师,厦门一视科技有限公司,厦门市湖里区,15000-20000,本科,2021-11-03 20:06
嵌入式研发工程师（集美立晶）,玉晶光电（厦门）有限公司,厦门市集美区,8000-12000,大专,2021-11-03 17:48
嵌入式软件实习生,厦门云之拓科技有限公司,厦门市海沧区,3000-6000,本科,2021-11-03 17:27
嵌入式软件工程师,厦门云之拓科技有限公司,厦门市海沧区,8000-15000,本科,2021-11-03 17:27
嵌入式软件开发工程师,厦门纵行信息科技有限公司,厦门市集美区,,本科,2021-11-03 11:32
嵌入式软件开发工程师,福建亿能电力科技股份有限公司,厦门市集美区,,大专,2021-11-03 10:18
